person, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24
natalia,18.032644758951978,-6.828506140869467,17.702307396047765,26.4878282987684,-29.81306152050477,-44.144756824978934,-9.265773748309947,-31.993843533192965,-10.526445047248572,-12.41883294884586,-0.23605047511665309,-16.784725536889468,-11.547396274550957,-19.429431514183307,-21.290891968286886,-9.131936699819823,-17.391636647647736,-5.666974983423312,-9.582450216440671,-3.2070358150684837,-0.8886706291240994,-0.03702882140759077,0.10612423720595154,-0.3142509851495783
natalia,18.65074090957742,-4.510181038626524,13.186397758738714,30.877761146714537,-24.09960339428183,-40.807244946393126,-1.9799939157814905,-18.372677611548422,-3.000067688602005,-6.988006079703392,12.525494014390484,-9.614629652475738,-0.39912198576656377,-8.773160338381809,-18.289643821701414,-9.201715037597218,-15.624006977709916,-0.5514065290830057,-6.707472973012448,-1.1723914795753945,2.0272965105339273,2.0513240807887634,0.24218201128367942,-0.23476094621039423
natalia,18.881215375390553,-5.765391065635117,12.234341780988576,27.648382082483668,-30.449474185957055,-50.707763996963834,-8.093549339647337,-22.186287530156832,-7.187467547767146,-10.517440541932364,12.799518177253084,-13.547684839958778,-6.574236992864722,-15.115023984747218,-22.944651748539485,-13.364558104142992,-16.884486854997153,-1.6699612198431113,-8.613884587859438,-2.1577782802655827,2.2635289372945,1.9833536315185585,0.11974092765763149,-0.22025071280425618
natalia,19.07779838810734,-4.301115037167873,10.084892908221857,26.031900206279822,-24.914618752091965,-46.30434626934429,-6.751273145345247,-17.80182616680375,0.4011044383335658,-6.310553417431669,15.944166085935972,-8.173412125031295,1.1047396214403862,-13.451708459201956,-22.952094726619922,-14.48100506421429,-17.510593364269877,-1.653805712348653,-6.758506646114065,0.516410007114162,3.840004070351835,2.826841919962402,0.33940555498807834,-0.31606914371116696
natalia,19.162156460506022,-6.017952215894972,9.31235048730492,25.67694706136418,-24.456609880557945,-52.50339210112507,-9.78071350672011,-17.78787154944549,0.4874280760990215,-13.37126745027201,12.46689672300923,-8.320742819066282,4.0972847890750765,-16.776054228983927,-27.332635307907182,-18.189629622712435,-20.2425244823343,-3.0459904748705213,-6.446612777674708,0.8252801469906095,3.932820464591608,3.1094065358806793,0.38867308641476156,-0.3063439374689315
natalia,19.213194250295537,-6.928635721963839,8.392798785918847,23.473975772945707,-23.982769642575835,-55.0067144569849,-12.86720587382546,-17.049906010385353,-1.5449836780310957,-13.15880779075745,9.26118712653072,-8.373523679758197,1.433871074759658,-19.24137762988264,-28.04501918469863,-16.540659351569563,-19.40964729474893,-5.0117758749760535,-6.964718818132291,0.47116091177771313,4.676659059014497,3.265745909884586,0.48504390573511424,-0.2677933278594582
natalia,19.277098432196176,-9.496827080211077,10.706773078829857,20.009388198788127,-21.276810426997013,-54.838342590753335,-14.436092389736045,-10.630012726474051,-6.6298801533289655,-6.384279518596875,4.722623983101729,-2.2375220614605165,-0.09707542421901548,-18.351097164309937,-26.52017897900662,-18.47796081774825,-17.6211461564808,-7.4133177453062,-4.3752583247047605,0.7722695050414528,5.448803278661308,3.774473746761303,0.5865268767782783,-0.35681560995660666
natalia,19.83395950608966,-15.424509783903293,17.735103822638944,12.341731211988753,-14.332946838488555,-50.557692831031154,-15.044609639433391,-1.222382049916057,-10.703021664878252,2.8454675198551564,7.926723921611742,0.7452836723678133,5.10244529013236,-20.558841174037628,-20.211601412230223,-21.660052520898567,-13.805678825381413,-9.215377373928339,-2.335114719578642,2.5446697862924372,5.938437118466636,5.1298645319821095,0.6690677279022669,-0.5187126215491237
natalia,20.776166258234834,-19.998754805507378,19.002229688709868,5.625659292500215,-15.685589135146438,-56.94547860999566,-21.587949209380376,-8.369356977501091,-16.54269538060773,-4.997446942165144,4.2927259700365825,-3.216100903922944,5.386353498530443,-22.639922009311004,-18.53480420885462,-24.505015271028228,-11.31162696042855,-11.17834207158031,0.12168484523372092,1.1128304264467488,6.250217588531446,4.503198904570956,0.5859038038292136,-0.3650086605510008
natalia,21.731878289921497,-22.132558947431956,22.080142440186897,3.3856228352489888,-13.196840892964934,-56.44416073107452,-20.3394253509673,-3.6011227311914507,-14.361394386108623,-1.4436855180447625,5.082020422776638,0.3389604541356379,5.751193655853588,-19.86070652193863,-19.570846124640386,-22.78633601675392,-11.175438124921357,-9.57457535393857,0.012441863460702005,1.7336072925520285,6.690974993468021,4.666869433629246,0.8000335609518282,-0.3711919920887582
natalia,22.079702671878444,-20.000000709699048,26.451399018626397,0.6810403355819461,-4.292824919116005,-50.131879704663454,-19.17002953706007,4.237256246675965,-10.80971627343116,-1.0197222957930512,12.548856109039788,5.190132154928742,6.841319101939726,-12.56613940444012,-16.689298743234907,-20.322255504065264,-7.82468972884673,-8.187013194785758,-0.2880865288681363,3.3453270456083746,5.6368050937928285,4.4243973692688945,0.6927673203246457,-0.26300009440089395
natalia,22.233576073476776,-22.507168044050292,25.242478649288547,-7.602660064091233,-8.134960333322722,-51.607503258308604,-28.827035540455444,-6.179202588621504,-11.027474543131602,-6.432275483503005,2.674194137339156,3.2594629989077086,2.4830294916067595,-19.31727505435192,-16.720283374804158,-15.93509829292802,-7.336052414740737,-6.4741704421912125,0.36430206182840746,2.7359060789236107,3.93375469327061,4.118296863768984,0.5938906425628203,-0.19107890306804765
natalia,22.31885423283031,-20.77335626945525,19.427289690712197,-10.684445391348882,8.511855583041125,-32.3255029307706,-22.611130858305156,-6.15353535834043,-4.995582019873514,4.30668197492154,10.45264535049783,2.304477130964602,-0.9108290083522289,-16.95211798610205,-10.983856217969942,-11.50803966937738,-7.435259508140295,-6.670261217309185,1.9059723471761827,3.3048308249585405,2.447232230806727,3.5443805879460912,0.5212442016689054,-0.25723228031548023
natalia,22.378504610775536,-25.846020605805027,14.762035054711731,-12.041313276529165,10.57754387925144,-34.66335907464636,-23.780308117922075,-4.691208320190463,-13.89820065882546,-9.990385721838281,5.7630575352909785,2.7249167019592777,-8.393269136052895,-18.65252723052693,-9.7883010140375,-14.650434013007636,-11.277557924597891,-7.800897606715771,-0.24020721406705553,2.8636567225493614,2.9015335355539666,3.7715299336181705,0.569647678548967,-0.19798410143395187
natalia,22.404174094130127,-28.188137595806065,13.749633785643974,-14.184109593313268,12.224898577994015,-33.61396619387004,-27.584907748428108,-6.571496553711087,-14.651955982557014,-13.340099899446287,6.077815989129703,5.32597866499895,-11.363466412955272,-19.823126425857534,-10.074743779253124,-15.944594645312655,-10.716198290087323,-5.41725033631584,-0.930876257963411,0.7522131574428139,1.2233142922719915,2.6811334494904298,0.364558289385406,-0.247208137527713
natalia,22.40817852659245,-30.832030860393253,12.196066492088692,-14.117892495982495,18.738246434950476,-23.71232488398295,-20.309256190342275,-0.33229664452572055,-10.511845725208504,-12.381139101947607,9.226151649746427,10.359745729093618,-8.46285211739447,-16.44553249823593,-6.859977126163172,-16.50856451960682,-11.445294012119186,-4.440718682810307,-0.4011769236982691,1.7436176331806297,2.5598113920762895,3.2084520870792446,0.44338291929533713,-0.2938882014299691
natalia,22.396892388176113,-32.56099128738423,8.690053199273345,-18.782693555557515,16.045019647478608,-28.563571658482076,-24.77672406428249,-4.474653646837815,-14.530493199847427,-15.745553953140034,7.779849897306228,8.43603011579943,-10.31202211319059,-16.294666887746725,-7.831550785509131,-16.864251678727374,-11.519684460299166,-4.460005012082183,-0.9372849669653186,1.4584261376677101,2.157486891405997,2.780096218786353,0.38535127284236015,-0.20675247196617252
natalia,22.324708919669423,-28.39706622091777,10.992487706727255,-16.23126086007677,19.305180733905434,-29.42693434723217,-20.345880454651688,-2.5226816968223296,-12.282756230066763,-10.83233557026715,8.2700664658789,12.581866691500032,-4.863099921596111,-9.188108129009397,2.2611438567494853,-7.57377491660364,-4.625707544990924,1.0158309273003134,-0.5154880176581755,0.8674366859370837,0.405083280171649,1.2445608883391805,0.009160029867564689,-0.005606889093768092
natalia,22.033281578728158,-27.08148323179208,8.999785021957383,-19.902115156665175,15.757008783747239,-39.37419459936252,-30.420486097781893,-12.27798816164618,-23.97897033341934,-22.927771058863126,-2.447683419949992,2.1768141098716685,-16.947192307660746,-14.590392679293338,-4.987208084421628,-11.646928549927326,-6.78733609398982,-1.2417422448337787,-2.7014011509407108,1.0708118857952238,0.12414663367625585,1.3318790420844195,0.07200082631695069,0.026153953286451332
natalia,21.55511691684806,-22.852548256801327,10.072730370423459,-15.038116761138323,18.51671667241342,-36.37943844015456,-22.217349362782,-8.182929184772435,-16.45559644888806,-17.018915013608698,0.2784307084849436,6.496907211387183,-15.887096690045235,-10.56088328361866,-4.523026208813833,-9.983011533850627,-4.267814526630694,0.22491752600119932,-0.40953590809616913,3.1269062567226884,1.3557819831233393,2.051752908816994,0.33105843341689883,-0.13579430265208814
natalia,21.015844962527577,-21.23626917616705,7.744632135637957,-10.965136730075567,13.94366741713941,-44.504828292374675,-26.518979232717925,-11.838122425731378,-13.279411917820578,-11.530506519993539,2.1494717396755614,8.257352410845924,-10.054093273372267,-9.526706286955507,-12.017098369783588,-8.486276005352343,-2.3718532395369807,-2.5491469379679454,-0.15410248983240982,4.979493797021992,1.687213315742643,2.484773049867947,0.5527509267580958,-0.17757412041055437
